Modelo,Cota,Num Paises,Acierto exacto (%),RMSE,MSE,MAE,R2
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,18,0.0,38068.067717762126,1449177779.764123,29647.145601953416,0.5448085234060752
Lasso(alpha=0.1),0.0,18,0.0,40194.46225788029,1615594796.200163,30468.168054181595,0.4925363946861563
"LassoLars(alpha=0.1, normalize=False)",0.0,18,0.0,38280.20158464616,1465373833.3611462,29735.39941234092,0.5397212900419097
BayesianRidge(),0.0,18,0.0,51747.35199888229,2677788438.8962264,42296.78518835064,0.15889790022469796
LogisticRegression(max_iter=2000),0.0,19,3.0,51378.252334913064,2639724812.99,39970.41,0.17085380951527107
LinearRegression(),0.0,19,0.0,37961.75879470333,1441095130.787236,29675.613100956372,0.5473473098641304
Ridge(alpha=0.5),0.0,19,0.0,37496.11557954244,1405958683.5544055,29681.82904897251,0.5583837827672546
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,19,0.0,38051.5390854973,1447919626.7751288,29490.166776040132,0.5452037133716118
Lasso(alpha=0.1),0.0,19,0.0,40160.67240575138,1612879608.0820801,30592.64030295298,0.49338924414738783
"LassoLars(alpha=0.1, normalize=False)",0.0,19,0.0,38233.50421914498,1461800844.8753774,29858.349840256204,0.5408435774019567
BayesianRidge(),0.0,19,0.0,51184.9485163236,2619898954.6186976,41636.5578156616,0.17708117642138244
LogisticRegression(max_iter=2000),0.0,20,4.0,53124.97686964202,2822263167.4,41935.06,0.11351791585256443
LinearRegression(),0.0,20,0.0,37904.010158480436,1436713986.0941882,29614.902225688118,0.5487234417299699
Ridge(alpha=0.5),0.0,20,0.0,37437.877401926875,1401594664.3617067,29618.6497433294,0.5597545354574678
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,20,0.0,37942.37472145028,1439623799.502949,29378.811294490602,0.5478094598288934
Lasso(alpha=0.1),0.0,20,0.0,40076.86968099689,1606155483.427608,30538.412430623797,0.49550131367606143
"LassoLars(alpha=0.1, normalize=False)",0.0,20,0.0,37879.27877827979,1434839760.7626374,29594.764602164174,0.5493121420316522
BayesianRidge(),0.0,20,0.0,51057.71401490626,2606890160.4279556,41448.30606979964,0.18116728118994596
LogisticRegression(max_iter=2000),0.0,21,3.0,53374.9909686175,2848889660.9,42637.18,0.10515444722778589
LinearRegression(),0.0,21,0.0,37814.45760982041,1429933204.3249047,29576.91721100229,0.5508533074435635
Ridge(alpha=0.5),0.0,21,0.0,37360.82597358016,1395831317.4281423,29585.93990430607,0.561564821564145
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,21,0.0,37908.03337002984,1437018993.9832962,29371.53619265133,0.5486276377552233
Lasso(alpha=0.1),0.0,21,0.0,39955.20925795408,1596418746.846899,30482.84580552204,0.4985596544561004
"LassoLars(alpha=0.1, normalize=False)",0.0,21,0.0,37821.3512041758,1430454606.90961,29583.329850093007,0.5506895331877435
BayesianRidge(),0.0,21,0.0,51026.19296679684,2603672368.6847878,41472.43727715486,0.18217800009234497
LogisticRegression(max_iter=2000),0.0,22,2.0,53979.56480595226,2913793416.64,42384.76,0.08476796544182397
LinearRegression(),0.0,22,0.0,38050.78557396287,1447862282.7957008,29640.68640339128,0.5452217253029525
Ridge(alpha=0.5),0.0,22,0.0,37274.10271398725,1389358733.132872,29489.08256295697,0.5635978814439496
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,22,0.0,37472.88773487536,1404217315.1905723,28839.398244572585,0.558930752261195
Lasso(alpha=0.1),0.0,22,0.0,40205.568909651345,1616487771.348723,30725.259582010658,0.4922559082737158
"LassoLars(alpha=0.1, normalize=False)",0.0,22,0.0,38059.3763873071,1448516130.9907093,29656.65044761201,0.5450163494480986
BayesianRidge(),0.0,22,0.0,51339.19508888866,2635712952.374969,41606.76822485238,0.1721139480453706
LogisticRegression(max_iter=2000),0.0,23,3.0,50258.36853032537,2525903607.33,39129.07,0.20660542218525635
LinearRegression(),0.0,23,0.0,38050.89988196748,1447870981.8275127,29640.87200859769,0.5452189929086315
Ridge(alpha=0.5),0.0,23,0.0,37274.024843169325,1389352928.009204,29489.0569353393,0.5635997048522652
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,23,0.0,37472.70337639839,1404203498.3355396,28839.3183682705,0.5589350921805148
Lasso(alpha=0.1),0.0,23,0.0,40207.87167714001,1616672944.8053575,30725.960417075115,0.49219774468583266
"LassoLars(alpha=0.1, normalize=False)",0.0,23,0.0,38059.372588894854,1448515841.8603208,29656.644581519548,0.5450164402648986
BayesianRidge(),0.0,23,0.0,51313.015496063745,2633025559.2992783,41591.56093231338,0.17295806699295146
LogisticRegression(max_iter=2000),0.0,24,4.0,51739.69775008354,2676996323.27,39870.61,0.1591467063315607
LinearRegression(),0.0,24,0.0,38047.380095564586,1447603132.1363645,29594.47202644831,0.5453031253719646
Ridge(alpha=0.5),0.0,24,0.0,37270.78248728786,1389111227.2147238,29454.852189426812,0.563675623861699
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,24,0.0,37470.02107787641,1404002479.5765023,28816.46480504573,0.5589982328296657
Lasso(alpha=0.1),0.0,24,0.0,40238.262773160415,1619117791.001907,30835.33906780242,0.49142981050564283
"LassoLars(alpha=0.1, normalize=False)",0.0,24,0.0,38056.28062111223,1448280494.7128425,29624.43387709699,0.5450903635730453
BayesianRidge(),0.0,24,0.0,51269.77041365752,2628589358.269152,41437.3171207265,0.17435149223419355
LogisticRegression(max_iter=2000),0.0,25,3.0,52670.511071281624,2774182736.51,41131.27,0.12862013632385372
LinearRegression(),0.0,25,0.0,38047.5221165108,1447613939.2063787,29594.891173196043,0.5452997308359552
Ridge(alpha=0.5),0.0,25,0.0,37270.68905215216,1389104262.4222147,29455.14402083925,0.5636778115257874
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,25,0.0,37469.883414379095,1403992163.0871618,28819.089005928497,0.5590014732726822
Lasso(alpha=0.1),0.0,25,0.0,40240.93693929822,1619333005.7525756,30836.487604581587,0.49136221084912757
"LassoLars(alpha=0.1, normalize=False)",0.0,25,0.0,38056.2751187016,1448280075.9103065,29624.423611917115,0.5450904951202905
BayesianRidge(),0.0,25,0.0,51239.33154286465,2625469096.9596043,41429.532056747914,0.17533157650865927
LogisticRegression(max_iter=2000),0.0,26,3.0,55578.960422627555,3089020841.66,44771.2,0.02972845859292128
LinearRegression(),0.0,26,0.0,38044.908558476614,1447415067.222847,29533.36913714693,0.545362197175904
Ridge(alpha=0.5),0.0,26,0.0,37253.32480784063,1387810209.2384741,29383.84500105187,0.564084277859817
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,26,0.0,37457.04787897382,1403030435.8077369,28787.009716307573,0.5593035549541122
Lasso(alpha=0.1),0.0,26,0.0,40224.27680566891,1617992444.5390737,30748.415811990602,0.49178328550729533
"LassoLars(alpha=0.1, normalize=False)",0.0,26,0.0,38083.2200006036,1450331645.6143742,29607.03011672112,0.5444460903716324
BayesianRidge(),0.0,26,0.0,51240.62686992793,2625601842.0231805,41425.673579396025,0.175289880850374
LogisticRegression(max_iter=2000),0.0,27,2.0,50106.85278472397,2510696695.99,38948.81,0.21138196273393506
LinearRegression(),0.0,27,0.0,37996.20847176717,1443711858.229991,29494.949336699574,0.5465253872227929
Ridge(alpha=0.5),0.0,27,0.0,37211.11266374155,1384666905.6736667,29350.062332789945,0.5650715997819628
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,27,0.0,37399.93731570074,1398755311.2183447,28735.7396608499,0.5606463855589157
Lasso(alpha=0.1),0.0,27,0.0,40172.65688874445,1613842361.5007873,30705.752345929857,0.4930868401522558
"LassoLars(alpha=0.1, normalize=False)",0.0,27,0.0,38003.253853877235,1444247303.4822347,29512.146014321796,0.5463572021192068
BayesianRidge(),0.0,27,0.0,50939.09967260817,2594791875.45591,41095.31971527497,0.1849673920373368
LogisticRegression(max_iter=2000),0.0,28,3.0,56127.70720143484,3150319515.69,45730.83,0.010474344753619191
LinearRegression(),0.0,28,0.0,37987.400502423836,1443042596.9315505,29506.274027753432,0.5467356043838052
Ridge(alpha=0.5),0.0,28,0.0,37215.986432275735,1385029646.1273315,29372.520282125835,0.5649576618200165
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,28,0.0,37381.19782606061,1397353950.9110785,28792.26859372625,0.5610865574111286
Lasso(alpha=0.1),0.0,28,0.0,40065.63250614505,1605254908.1174667,30713.117530458105,0.49578418732409235
"LassoLars(alpha=0.1, normalize=False)",0.0,28,0.0,37965.12962958472,1441351067.7911718,29454.306530911064,0.5472669192147819
BayesianRidge(),0.0,28,0.0,50817.503331690634,2582418644.8663883,41067.01838232453,0.18885386420171013
LogisticRegression(max_iter=2000),0.0,29,2.0,52806.45347142714,2788521528.23,41509.73,0.1241162749848661
LinearRegression(),0.0,29,0.0,38059.97284533494,1448561532.987633,29528.807209377428,0.5450020885324894
